group1	life	ab	rel
HD1	litter_saprotroph	1268	0.110674696691979
HD1	plant_pathogen	318	0.0277559570568212
HD1	soil_saprotroph	1010	0.0881557126647464
HD1	sooty_mold	2	0.000174565767652963
HD1	unspecified_saprotroph	1657	0.14462773850048
HD1	wood_saprotroph	2578	0.22501527450467
HD2	Unassigned/no-trait	5235	0.456925896831631
HD2	animal_parasite	55	0.00480055861045649
HD2	arbuscular_mycorrhizal	61	0.00532425591341538
HD2	dung_saprotroph	59	0.00514969014576242
HD2	ectomycorrhizal	134	0.0116959064327485
HD2	foliar_endophyte	1	8.72828838264816e-05
HD2	lichen_parasite	322	0.0281050885921271
HD2	lichenized	1	8.72828838264816e-05
HD2	litter_saprotroph	460	0.0401501265601815
HD2	nectar/tap_saprotroph	1	8.72828838264816e-05
HD2	plant_pathogen	2251	0.19647377149341
HD2	soil_saprotroph	484	0.0422449157720171
HD2	sooty_mold	3	0.000261848651479445
HD2	unspecified_saprotroph	1697	0.148119053853539
HD2	wood_saprotroph	693	0.0604870384917518
HD3	Unassigned/no-trait	3329	0.290564720258357
HD3	animal_parasite	253	0.0220825696080999
HD3	arbuscular_mycorrhizal	86	0.00750632800907742
HD3	dung_saprotroph	313	0.0273195426376887
HD3	ectomycorrhizal	9	0.000785545954438335
HD3	foliar_endophyte	1	8.72828838264816e-05
HD3	lichen_parasite	50	0.00436414419132408
HD3	litter_saprotroph	159	0.0138779785284106
HD3	moss_symbiont	1	8.72828838264816e-05
HD3	mycoparasite	4	0.000349131535305927
HD3	plant_pathogen	586	0.0511477699223182
HD3	root_endophyte	1	8.72828838264816e-05
HD3	soil_saprotroph	3272	0.285589595880248
HD3	sooty_mold	1	8.72828838264816e-05
HD3	unspecified_saprotroph	3122	0.272497163306276
HD3	wood_saprotroph	270	0.02356637863315
XJ1	Unassigned/no-trait	6954	0.606965174129353
XJ1	arbuscular_mycorrhizal	506	0.0441651392161997
XJ1	dung_saprotroph	12	0.00104739460591778
XJ1	ectomycorrhizal	1	8.72828838264816e-05
XJ1	lichen_parasite	2	0.000174565767652963
XJ1	litter_saprotroph	502	0.0438160076808938
XJ1	nectar/tap_saprotroph	2	0.000174565767652963
XJ1	plant_pathogen	41	0.00357859823688575
XJ1	soil_saprotroph	2161	0.188618311949027
XJ1	unspecified_saprotroph	824	0.0719210962730209
XJ1	wood_saprotroph	452	0.0394518634895697
XJ2	Unassigned/no-trait	9305	0.812167234005412
XJ2	animal_parasite	73	0.00637165051933316
XJ2	arbuscular_mycorrhizal	25	0.00218207209566204
XJ2	dung_saprotroph	19	0.00165837479270315
XJ2	ectomycorrhizal	5	0.000436414419132408
XJ2	lichen_parasite	6	0.00052369730295889
XJ2	litter_saprotroph	161	0.0140525442960635
XJ2	nectar/tap_saprotroph	10	0.000872828838264816
XJ2	plant_pathogen	100	0.00872828838264816
XJ2	soil_saprotroph	256	0.0223444182595793
XJ2	sooty_mold	8	0.000698263070611853
XJ2	unspecified_saprotroph	1068	0.0932181199266824
XJ2	wood_saprotroph	421	0.0367460940909488
XJ3	Unassigned/no-trait	10214	0.891507375403683
XJ3	animal_parasite	260	0.0226935497948852
XJ3	arbuscular_mycorrhizal	34	0.00296761805010038
XJ3	dung_saprotroph	69	0.00602251898402723
XJ3	ectomycorrhizal	3	0.000261848651479445
XJ3	litter_saprotroph	151	0.0131797154577987
XJ3	plant_pathogen	108	0.00942655145326002
XJ3	soil_saprotroph	219	0.0191149515579995
XJ3	sooty_mold	5	0.000436414419132408
XJ3	unspecified_saprotroph	174	0.0151872217858078
XJ3	wood_saprotroph	220	0.019202234441826
